chrIV      437451     18.65      37.300
chrXIII    192187     17.51      34.333
chrXVI      57394     16.74      33.480
chrXVI      58401     15.71      31.420
chrV       182609     17.44      31.143
chrIII     307118     14.41      28.820
chrXVI     193049     14.10      28.200
chrIII     279804     13.06      26.120
chrVII     709502     13.05      26.100
chrXVI     809774     12.97      25.940
chrX       445470     12.42      24.840
chrV       386497     16.97      24.594
chrXVI     746638     19.83      24.481
chrV       386665     18.04      24.053
chrI         1340     13.22      23.607
chrXIII    502329     27.52      23.126
chrVII    1046198     19.91      22.625
chrXII     131720     16.89      22.520
chrVIII    393108     25.67      21.940
chrXIII    835081     23.12      21.811
chrXVI     924203     10.87      21.314
chrVI       54837     11.93      21.304
chrXIV     685664     10.45      20.900
chrXV      960483     10.39      20.780
chrX        54575     13.01      20.651
chrXIV      52837     21.09      20.476
chrX        84198     27.26      19.471
chrXIV     564380      9.65      19.300
chrII      278393      9.58      19.160
chrVIII    445748      9.52      19.040
chrIX       60796     19.15      18.960
chrVIII     12514     15.32      18.683
chrXVI     191162      9.29      18.580
chrXI      146649     25.96      18.411
chrXII     127544      9.20      18.400
chrII       75236     12.44      18.294
chrIV      907496     35.81      18.270
chrXV     1031118      9.27      18.176
chrIV      620360     24.34      18.030
chrX       445628     13.51      18.013
chrX       197534      8.95      17.900
chrXII      81038      8.87      17.740
chrXIII    145916     10.96      17.677
chrX       211277     30.85      17.629
chrX        84039     10.73      17.590
chrIV      183445     15.11      17.570
chrVIII     34418      9.31      17.566
chrXII     302233     11.21      17.516
chrXII     131883     23.47      17.257
chrIV      570609      9.10      17.170
chrXIV     668081      9.27      17.167
chrXIII    523229      8.55      17.100
chrX         8306     13.31      17.064
chrX       612358      8.51      17.020
chrXI      640378     12.69      16.920
chrIX      310373     13.67      16.877
chrI        76450     10.29      16.869
chrIX      396514     29.16      16.855
chrXVI     746802      8.33      16.660
chrXII     517702      9.62      16.586
chrVIII    417088     13.10      16.582
chrVII     335053     14.80      16.444
chrX       724947      8.21      16.420
chrII      107467     11.13      16.368
chrX       534187     17.60      16.296
chrI       192621     10.42      16.281
chrXIV     670440      8.14      16.280
chrXIII    273731     12.64      16.205
chrXVI     814512      9.67      16.117
chrX        54415     12.29      15.961
chrIV      789469     11.77      15.905
chrIV      271917     20.99      15.902
chrXII     143542     14.38      15.802
chrVII     357492     11.20      15.775
chrXVI     565017      9.78      15.774
chrXI      483225     11.55      15.608
chrXIV     734529     37.60      15.602
chrXIII    716720     16.38      15.600
chrXIII    631972      9.45      15.492
chrXII    1022523     12.52      15.457
chrXIII    502160     10.97      15.451
chrII        9445      8.31      15.389
chrIV     1178168     15.66      15.353
chrXI      642156     20.36      15.308
chrXII     946377      7.63      15.260
chrV       182777     17.38      15.246
chrVIII    131689      7.62      15.240
chrXI      547847      8.65      15.175
chrXVI     809192     17.58      15.155
chrV       215026     19.26      14.930
chrII      197349      8.20      14.909
chrXIII    920492      7.41      14.820
chrXVI     246233     15.53      14.790
chrIV      388672      9.17      14.790
chrXIV     668550     16.40      14.775
chrV       517869      7.37      14.740
chrXI       53720      9.72      14.727
chrIX      438398      7.79      14.698
chrXIV     394689      7.32      14.640
chrXII     101004     23.08      14.608
chrXV      147380     10.34      14.563
chrX       273133     12.81      14.557
chrXVI     370958      7.26      14.520
chrIV     1417499     13.34      14.500
chrXVI     818681     12.60      14.483
chrVII     687904     15.92      14.473
chrXV      282021      7.23      14.460
chrIV     1350256      7.66      14.453
chrXII     853624     13.52      14.383
chrIX      411849     11.62      14.346
